type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799761923,BTC-USD,48135.88,54961.08,71009.87712911,44888.08,55043.63,854298.11742858,48128.26,48136.86,buy,2021-02-23T21:35:55.474866Z,137333016,0.2,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799762051,BTC-USD,48133.31,54961.08,71011.74743681,44888.08,55043.63,854299.98773628,48133.31,48137.46,sell,2021-02-23T21:35:55.604439Z,137333018,0.00058522,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799762588,BTC-USD,48137.52,54961.08,71011.91523681,44888.08,55043.63,854300.15553628,48134.23,48139.27,buy,2021-02-23T21:35:56.911075Z,137333019,0.1678,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799762776,BTC-USD,48144.29,54961.08,71011.95138760,44888.08,55043.63,854300.19168707,48138.35,48144.29,buy,2021-02-23T21:35:57.077192Z,137333021,0.00020667,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799762863,BTC-USD,48144.29,54961.08,71011.95238015,44888.08,55043.63,854300.19267962,48140.36,48144.29,buy,2021-02-23T21:35:57.213207Z,137333022,0.00099255,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763278,BTC-USD,48144.34,54961.08,71011.98221952,44888.08,55043.63,854300.22251899,48141.19,48144.34,buy,2021-02-23T21:35:57.775133Z,137333023,0.02983937,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763357,BTC-USD,48142.62,54961.08,71011.98321628,44888.08,55043.63,854300.22351575,48140.25,48142.62,buy,2021-02-23T21:35:57.855153Z,137333024,0.00099676,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763482,BTC-USD,48142.62,54961.08,71011.98367597,44888.08,55043.63,854300.22397544,48142.61,48142.62,buy,2021-02-23T21:35:58.069570Z,137333025,0.00045969,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763508,BTC-USD,48142.62,54961.08,71011.98568154,44888.08,55043.63,854300.22598101,48142.61,48142.62,buy,2021-02-23T21:35:58.140181Z,137333026,0.00200557,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763544,BTC-USD,48142.62,54961.08,71012.29125445,44888.08,55043.63,854300.53155392,48142.61,48142.62,buy,2021-02-23T21:35:58.207805Z,137333027,0.30557291,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763673,BTC-USD,48142.62,54961.08,71012.29325968,44888.08,55043.63,854300.53355915,48142.61,48142.62,buy,2021-02-23T21:35:58.476840Z,137333028,0.00200523,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763693,BTC-USD,48144.34,54961.08,71012.30362836,44888.08,55043.63,854300.54392783,48142.61,48144.34,buy,2021-02-23T21:35:58.550360Z,137333030,0.00963361,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763773,BTC-USD,48144.34,54961.08,71012.35826074,44888.08,55043.63,854300.59856021,48142.61,48144.34,buy,2021-02-23T21:35:58.711413Z,137333032,0.02066753,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763870,BTC-USD,48144.34,54961.08,71012.35874682,44888.08,55043.63,854300.59904629,48142.63,48144.34,buy,2021-02-23T21:35:58.846759Z,137333033,0.00048608,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763956,BTC-USD,48144.34,54961.08,71012.36079762,44888.08,55043.63,854300.60109709,48140.16,48144.34,buy,2021-02-23T21:35:58.983576Z,137333034,0.0020508,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799763986,BTC-USD,48144.34,54961.08,71012.36280293,44888.08,55043.63,854300.60310240,48144.33,48144.34,buy,2021-02-23T21:35:59.071143Z,137333035,0.00200531,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764040,BTC-USD,48144.33,54961.08,71012.38990993,44888.08,55043.63,854300.63020940,48144.33,48144.34,sell,2021-02-23T21:35:59.262965Z,137333036,0.027107,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764074,BTC-USD,48139.98,54961.08,71012.50030264,44888.08,55043.63,854300.74060211,48139.98,48144.34,sell,2021-02-23T21:35:59.364114Z,137333039,0.04615271,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764177,BTC-USD,48144.34,54961.08,71012.51065813,44888.08,55043.63,854300.75095760,48141.77,48144.34,buy,2021-02-23T21:35:59.498019Z,137333040,0.01035549,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764221,BTC-USD,48144.34,54961.08,71012.52218302,44888.08,55043.63,854300.76248249,48140.98,48144.34,buy,2021-02-23T21:35:59.564838Z,137333041,0.01152489,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799764273,BTC-USD,48144.34,54961.08,71012.68715537,44888.08,55043.63,854300.92745484,48140.61,48144.34,buy,2021-02-23T21:35:59.691614Z,137333042,0.16497235,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
